6921875006543;ALFA;CEFOTAXIMA 1GR AMP I.V/I.M (ALFA) FV. 11/2026;98;58.5640
7598252101086;DISTRILAB;CEFOTAXIMA 1GR AMP I.V/I.M (DISTRILAB) F.V 05/2026;35;83.8530
6921875010816;KMPLUS;CEFOTAXIMA 1GR AMP I.V/I.M (KMPLUS) F.V 10/2026;80;65.8845
69218750516591;ZAKIMED;CEFOTAXIMA 1GR AMP I.V/I.M (ZAKIMED) FV. 04/2027;35;57.8985
6921875010731;ALFA;CEFTAZIDIMA 1GR AMP I.V/I.M (ALFA) FV. 11/2026;686;103.8180
7598252101567;DISTRILAB;CEFTRIAXONA 1GR  AMP I.V./I.M.(DISTRILAB) FV.08/2027;66;190.3330
7598455000179;BIOGLASS;CEFTRIAXONA 1GR + AGUA ESTERIL (BIOCEFT) AMP I.V (BIOGLASS) F.V 03/2027;950;103.8180
7598650000073;JL DE VENEZUELA;CEFTRIAXONA 1GR AMP I.V/I.M (JL PHARMA) FV. 09/2027;4942;65.2190
7707342953270;PROCLIN;CEFTRIAXONA 1GR AMP I.V/I.M (PROCLIN) F.V 06/2027;1;140.4205
7707236122171;EL MORRO;CEFTRIAXONA 1GR AMP I.V/I.M (VITALIS) F.V 09/2027;117;162.3820
7800061080101;BIOSANO;CIANOCOBALAMINA 0.1 MG/1ML (VITAMINA B12) AMP I.M (BIOSANO) FV. 01/2027;281;55.2365
7592637000193;BEHRENS;CIFARCAINA HIPERBARA 5% AMP I.V X 2ML (BEHRENS) FV. 05/2027;153;373.3455
791466996371;VINTER;CIPROFLOXACINA 200MG/100ML (CIPROVIV) AMP I.V. (VINTER) FV. 03/2026;83;75.2015
7598252101055;DISTRILAB;CIPROFLOXACINA 200MG/100ML AMP I.V (DISTRILAB) FV. 06/2026;8;99.1595
769503927770;GAMA;CIPROFLOXACINA 200MG/100ML AMP I.V (GAMA) FV. 03/2027;97;75.8670
736372230249;GLOBAL MEDIC;CIPROFLOXACINA 200MG/100ML AMP I.V (GLOBAL MEDIC) FV. 02/2026;3307;89.1770
7597285000373;IPS;CIPROFLOXACINA 200MG/100ML AMP I.V (IPS) FV. 11/2026;112;86.5150
6942189304378;KMPLUS;CIPROFLOXACINA 200MG/100ML AMP I.V (KMPLUS) F.V 09/2026;29;108.4765
8904324102865;ZAKIMED;CIPROFLOXACINA 200MG/100ML AMP I.V (ZAKIMED) FV.08/2026;57;78.5290
7598252001706;DISTRILAB;CIPROFLOXACINA 400MG/200ML AMP I.V (DISTRILAB) FV. 06/2026;1;602.9430
AMP00760;MIFAR;CITICOLINA 1000MG/4ML AMP I.V/I.M (KWALITY) (MIFAR)  FV. 02/2026;100;254.8865
8906150831582;MEDVAL;CITICOLINA 500MG/2ML (MEDCOLIN) AMP I.V/I.M. (MEDVAL) FV. 06/2026;39;178.3540
8906044711341;CR MEDICARE;CLARITROMICINA 500MG (CLARIMICYN) AMP I.V (MEDICARE) FV. 07/2027;173;407.2860
8904187805729;CR MEDICARE;CLINDAMICINA 600MG/4ML (CLINDACYN) AMP I.V/I.M (MEDICARE) FV.07/2027;213;103.8180
17709315171534;BIOESTERIL;CLINDAMICINA 600MG/4ML AMP I.V/I.M (BIOESTERIL) FV. 05/2026;786;91.1735
736372230102;GLOBAL MEDIC;CLINDAMICINA 600MG/4ML AMP I.V/I.M (GLOBAL MEDIC) FV. 04/2026;573;101.8215
6937861391395;KMPLUS;CLINDAMICINA 600MG/4ML AMP I.V/I.M (KMPLUS) FV. 08/2027;100;115.1315
7501125115608;PISA;CLONIDINA 0.150MG/ML (EPICLODINA) AMP I.V/S.A (PISA) FV.10/2026;160;202.9775
7599608003184;LABORATORIO ZUZU;CLONIDINA 0.150MG/ML AMP I.V/I.M/S.C. (ZUZU) FV. 05/2026;5;105.1490
7591020003148;GENCER;CLONIDINA 0.150MG/ML CJ X 2 AMP X 1ML I.V/I.M (GENCER) FV. 07/2026;48;306.7955
7598455000285;BIOGLASS;CLORFENAMINA 10MG/1ML (BIOCLORFEN) AMP I.V/I.M (BIOGLASS) FV. 03/2026;653;25.2890
6921875051116;ALFA;CLORFENIRAMINA 10MG/ML AMP I.M (ALFA) FV.01/2027;666;9.9825
7800061105101;BIOSANO;CLORFENIRAMINA 10MG/ML AMP I.V/I.M (BIOSANO) F.V 01/2027;486;31.2785
7592637397033;BEHRENS;CLORHI DE BUPIVACAINA 5MG+DEXTR ANHIDRA 80MG (DURACAINA HIPERBARA) SOL INYECTABL X 3ML (BEHRENS) FV.04/2027;258;393.3105
7592637000346;BEHRENS;CLORHIDRATO DE BUPIVACAINA 5MG/ML (DURACAINA) SOL INYECTABLE X 10ML (BEHRENS) FV.02/2027;90;573.6610
7703153013059;COLMED;COMPLEJO B  CJ X 3 AMP I.M X 2ML (COLMED INTERNACIONAL) FV. 08/2027;64;183.0125
7592432005386;VIVAX;COMPLEJO B + B1 + B6 + B12 + LIDOCAINA (NEURIBE) CJ X 3 AMP I.M X 2ML (VIVAX) FV. 03/2026;37;342.7325
7591585213389;LETI;COMPLEJO B + B1 + B6 + B12 + LIDOCAINA (NEUROMIX) CJ X 1 AMP I.M X 3ML (LETI) FV. 07/2026;4;129.1070
7592806114034;RONAVA;COMPLEJO B + B1 + B6 + B12 + LIDOCAINA (RONAVIT) KIT X 3 AMP I.M X 2ML (RONAVA) FV. 10/2026;338;228.9320
7591818113011;COFASA;COMPLEJO B + LIDOCAINA (MIOVIT) CJ X 1 AMP I.M X 3ML (COFASA) FV. 07/2027;78;155.0615
7591818026366;COFASA;COMPLEJO B + LIDOCAINA (MIOVIT) CJ X 3 AMP I.M X 3ML (COFASA) FV. 09/2027;2319;332.7500
7591818715628;COFASA;COMPLEJO B + LIDOCAINA (MIOVIT) CJ X 6 AMP I.M X 3ML (COFASA) FV. 06/2027;36;655.5175
7598455000186;BIOGLASS;COMPLEJO B B1 + B2 + B3 + B5 + B6 + B12 (BENUCOMPLEX B12)  AMP I.V X 10ML (BIOGLASS) FV. 06/2026;1965;199.6500
7591243811483;BIOTECH;COMPLEJO B+ LIDOCAINA (DECA LENTERMINA COMPLEX) CJ X 3 AMP I.M X 2ML (BIOTECH) FV. 11/2026;93;217.6185
8904187899148;BIOS-VITA;DEXAMETASONA 4MG/1ML AMP I.V/I.M (BIOS-VITA) F.V 06/2027;236;23.2925
AMP00763;MIFAR;DEXAMETASONA 4MG/1ML AMP I.V/I.M (MIFAR) FV. 05/2025;12;17.9685
7598455000292;BIOGLASS;DEXAMETASONA 8MG/2ML (BIODEXA) AMP I.V/I.M (BIOGLASS) FV. 04/2027;2261;25.9545
7592806114195;RONAVA;DEXAMETASONA 8MG/2ML (DECOBEL) AMP I.V/I.M. (RONAVA) FV. 10/2026;6;125.1140
7598127001084;BLUE MEDICAL;DEXAMETASONA 8MG/2ML (DEXAMEX) AMP I.V/I.M (BLUE MEDICAL) FV. 12/2026;81;21.2960
8904159423456;ADN DESCUENTO;DEXAMETASONA 8MG/2ML AMP I.V/I.M (ADN MEDICAL) FV. 04/2026;791;30.3468
17598252000027;DISTRILAB;DEXAMETASONA 8MG/2ML AMP I.V/I.M (DISTRILAB) F.V 09/2027;286;26.6200
7707184160478;FARMIONNI;DEXAMETASONA 8MG/2ML AMP I.V/I.M (FARMIONNI) F.V 02/2026;2975;29.9475
605832705903;NY PHARMA;DEXAMETASONA 8MG/2ML AMP I.V/I.M (NY PHARMA) FV. 07/2027;295;20.6305
7598455000193;BIOGLASS;DICLOFENAC POTASICO 75MG/3ML (BIOFENAP) AMP I.V/I.M (BIOGLASS) FV. 04/2027;3181;81.8565
7598252000686;DISTRILAB;DICLOFENAC POTASICO 75MG/3ML (DISFENAC) AMP I.V/I.M (DISTRILAB) FV. 09/2025;37;130.4380
229687658735;CRUZ VERDE;DICLOFENAC POTASICO 75MG/3ML AMP I.V/I.M (CRUZ VERDE) FV. 11/2025;688;65.2190
8906106690386;KMPLUS;DICLOFENAC POTASICO 75MG/3ML AMP I.V/I.M (KMPLUS) FV. 06/2026;139;85.1840
6921875004327;ALFA;DICLOFENAC SODICO 75MG/3ML AMP I.M (ALFA) F.V12/2025;161;9.3170
8906112616653;ANDILAB;DICLOFENAC SODICO 75MG/3ML AMP I.V/I.M (ANDILAB) FV. 01/2027;103;18.6340
8902396017438;NEOPHARMA;DIGOXINA 0.25MG/ML AMP I.V/I.M (CIRON DRUGS) FV. 02/2026;11;232.9250
6035834982103;KMPLUS;DIPIRONA 1GR/2ML (METAMIZOL) AMP I.V/I.M (KMPLUS) FV. 09/2025;101;25.9545
